"date","awnd"
2017-12-29,2.01
2017-12-30,4.92
2018-01-17,5.82
2018-01-29,8.05
2018-02-01,13.2
2018-02-06,5.37
2018-02-13,8.72
2018-02-15,14.32
2018-02-16,13.42
2018-02-19,2.46
2018-02-20,3.36
2018-02-21,8.95
2018-03-13,6.71
2018-03-17,6.26
2018-03-22,6.04
2018-04-08,4.92
2018-04-09,5.14
2018-04-19,10.96
2018-04-20,2.91
2018-04-22,5.59
2018-05-03,11.86
2018-05-09,4.7
2018-05-12,6.26
2018-05-22,5.82
2018-05-24,6.93
2018-06-10,4.47
2018-06-14,4.47
2018-06-15,5.82
2018-06-17,5.37
2018-07-01,5.82
2018-07-07,9.4
2018-07-09,3.58
2018-07-15,6.04
2018-07-28,4.25
2018-07-29,4.25
2018-07-30,4.47
2018-07-31,5.37
2018-08-02,7.83
2018-08-06,2.91
2018-08-12,2.91
2018-08-21,9.4
2018-08-25,2.68
2018-08-26,2.68
2018-08-29,7.38
2018-09-13,11.18
2018-09-14,20.36
2018-09-20,4.25
2018-09-26,5.37
2018-09-27,4.25
2018-10-10,7.61
2018-10-12,2.91
2018-10-24,3.58
2018-10-27,8.5
2018-11-01,10.29
2018-11-02,11.86
2018-11-04,7.38
2018-11-14,8.05
2018-11-21,2.24
2018-11-25,3.8
2018-11-27,6.71
2018-12-01,5.14
2018-12-05,4.03
2018-12-07,1.79
2018-12-09,15.21
2018-12-14,5.14
2018-12-15,3.58
2018-12-16,7.61
2018-12-19,1.12
2018-12-25,1.57
2018-12-26,2.46
2019-01-06,2.68
2019-01-10,6.93
2019-01-11,2.01
2019-01-16,3.13
2019-01-17,4.7
2019-01-18,4.92
2019-01-24,11.41
2019-01-28,5.82
2019-01-29,8.95
2019-01-31,4.92
2019-02-03,0.0
2019-02-11,3.58
2019-02-22,7.38
2019-02-23,5.14
2019-03-04,4.92
2019-03-05,5.14
2019-03-10,9.4
2019-03-12,2.68
2019-03-13,4.7
2019-03-14,10.29
2019-03-17,3.8
2019-03-20,6.71
2019-03-25,7.38
2019-03-30,10.74
2019-03-31,9.17
2019-04-10,4.25
2019-04-15,10.51
2019-04-27,8.05
2019-04-29,7.61
2019-05-04,7.38
2019-05-17,6.26
2019-05-18,2.01
2019-05-19,10.74
2019-05-20,10.96
2019-05-22,6.04
2019-05-28,6.04
2019-05-29,5.37
2019-06-03,4.7
2019-06-06,7.61
2019-06-11,6.26
2019-06-13,7.61
2019-06-15,6.93
2019-06-18,9.4
2019-06-26,2.46
2019-06-27,3.36
2019-06-29,4.03
2019-07-06,8.95
2019-07-20,5.37
2019-07-31,3.36
2019-08-13,7.61
2019-08-18,2.91
2019-08-22,6.71
2019-08-26,6.49
2019-09-07,3.58
2019-09-11,3.8
2019-09-15,3.36
2019-09-22,7.61
2019-09-27,8.05
2019-10-03,3.58
2019-10-07,3.58
2019-10-10,4.7
2019-10-17,8.28
2019-10-18,2.46
2019-10-24,1.57
2019-10-27,8.28
2019-10-30,5.82
2019-11-05,1.12
2019-11-13,5.59
2019-11-16,15.66
2019-11-23,7.61
2019-12-05,3.13
2019-12-06,4.47
2019-12-09,7.16
2019-12-10,9.84
2019-12-12,6.93
2019-12-13,4.25
2019-12-17,10.96
2019-12-22,0.45
2019-12-26,1.12
2019-12-28,1.79
2020-01-04,9.17
2020-01-09,6.04
2020-01-13,5.37
2020-01-20,5.82
2020-01-24,9.84
2020-01-25,5.14
2020-02-03,7.38
2020-02-11,12.3
2020-02-17,5.14
2020-02-20,6.49
2020-02-28,7.61
2020-02-29,6.71
2020-03-08,4.47
2020-03-09,11.41
2020-03-25,7.16
2020-03-26,5.14
2020-03-27,8.5
2020-03-30,7.16
2020-04-09,10.07
2020-04-14,6.71
2020-04-19,4.03
2020-04-20,4.92
2020-04-23,7.83
2020-04-24,10.51
2020-05-17,7.16
2020-05-20,13.65
2020-05-21,12.08
2020-05-24,4.7
2020-05-27,8.28
2020-06-03,11.41
2020-06-06,6.04
2020-06-12,6.04
2020-06-14,8.28
2020-06-24,4.92
2020-07-12,3.36
2020-07-15,4.7
2020-07-23,6.26
2020-07-24,6.49
2020-07-25,4.25
2020-07-27,7.16
2020-07-29,5.14
2020-08-01,6.26
2020-08-05,5.37
2020-08-22,5.14
2020-08-23,8.5
2020-08-29,11.86
2020-09-06,3.58
2020-09-09,7.38
2020-09-11,4.92
2020-09-13,3.8
2020-09-14,6.71
2020-09-19,9.62
2020-09-20,9.62
2020-09-22,2.46
2020-09-23,1.34
2020-09-24,2.24
2020-09-25,5.82
2020-09-28,6.93
2020-09-30,5.59
2020-10-07,5.82
2020-10-13,3.58
2020-10-19,0.67
2020-10-20,1.12
2020-10-30,6.49
2020-11-03,3.13
2020-11-08,4.47
2020-11-10,4.03
2020-11-12,6.04
2020-11-15,10.51
2020-11-18,2.91
2020-11-22,2.01
2020-11-25,6.93
2020-11-28,1.34
2020-12-02,4.47
2020-12-09,6.04
2020-12-11,1.34
2020-12-12,6.71
2020-12-22,6.26
2020-12-28,5.37
2021-01-04,1.12
2021-01-13,2.91
2021-01-15,6.04
2021-01-20,6.04
2021-02-05,8.28
2021-02-12,9.62
2021-02-13,7.61
2021-02-21,6.49
2021-02-23,6.93
2021-03-02,2.91
2021-03-08,1.12
2021-03-17,4.25
2021-03-21,11.86
2021-03-29,4.7
2021-03-31,7.83
2021-04-03,3.13
2021-04-04,5.37
2021-04-10,8.95
2021-04-12,4.25
2021-04-16,4.92
2021-04-19,4.7
2021-04-21,10.74
2021-04-29,16.11
2021-05-01,4.25
2021-05-05,10.07
2021-05-16,1.79
2021-05-18,3.58
2021-05-27,3.13
2021-05-29,9.17
2021-06-15,5.14
2021-06-16,3.36
2021-06-28,4.92
2021-06-30,8.72
2021-07-03,3.13
2021-07-09,6.26
2021-07-12,10.07
2021-07-16,6.71
2021-07-27,4.92
2021-07-29,8.28
2021-07-30,6.71
2021-08-02,7.16
2021-08-04,8.05
2021-08-06,2.91
2021-08-10,6.49
2021-08-11,7.61
2021-08-12,6.71
2021-08-17,6.04
2021-08-18,9.4
2021-08-29,2.46
2021-09-01,13.65
2021-09-02,6.71
2021-09-04,2.91
2021-09-05,8.5
2021-09-07,4.03
2021-09-14,6.04
2021-09-18,2.46
2021-09-23,3.58
2021-09-26,2.91
2021-09-29,4.25
2021-10-17,4.25
2021-10-23,2.24
2021-10-24,4.25
2021-10-25,5.14
2021-10-27,3.36
2021-10-28,6.93
2021-11-02,5.14
2021-11-10,1.34
2021-11-11,5.82
2021-11-12,5.14
2021-11-17,6.04
2021-11-19,5.59
2021-11-22,4.25
2021-11-29,4.03
2021-12-01,3.36
2021-12-04,3.58
2021-12-06,11.41
2021-12-10,2.46
2021-12-11,12.3
2021-12-14,3.58
2021-12-15,2.01
2021-12-18,9.4
2021-12-28,9.17
2022-01-08,3.8
2022-01-17,13.0
2022-01-26,8.5
2022-02-05,6.5
2022-02-08,2.9
2022-02-15,3.8
2022-02-16,8.3
2022-02-20,5.4
2022-02-22,11.4
2022-02-23,4.9
2022-03-05,6.0
2022-03-09,4.5
2022-03-10,7.2
2022-03-13,8.3
2022-03-20,7.6
2022-03-22,8.1
2022-03-23,9.8
2022-04-01,9.6
2022-04-02,3.8
2022-04-06,9.2
2022-04-11,7.4
2022-04-14,12.3
2022-04-17,12.3
2022-04-23,6.5
2022-04-28,4.3
2022-05-27,10.7
2017-01-04,5.82
2017-01-12,12.53
2017-01-17,8.28
2017-01-27,6.49
2017-01-29,8.05
2017-01-31,12.75
2017-02-01,3.8
2017-02-13,7.16
2017-02-15,5.37
2017-02-17,6.71
2017-03-14,10.51
2017-03-19,7.16
2017-03-21,5.82
2017-03-27,9.17
2017-03-30,8.95
2017-03-31,10.74
2017-04-12,4.03
2017-04-19,3.58
2017-04-26,5.37
2017-04-27,10.51
2017-04-29,10.07
2017-04-30,10.51
2017-05-05,15.88
2017-05-14,7.16
2017-05-16,3.58
2017-05-27,6.04
2017-05-31,4.7
2017-06-07,10.29
2017-06-19,11.86
2017-06-24,7.83
2017-06-26,3.36
2017-06-29,6.71
2017-07-01,9.17
2017-07-03,2.91
2017-07-07,8.95
2017-07-09,3.36
